file,No,variable,source,used,match
experiment_csv,54,V0_1e4m3,6.29,6.29,True
experiment_csv,55,V0_1e4m3,2.54,2.54,True
experiment_csv,56,V0_1e4m3,7.94,7.94,True
experiment_csv,57,V0_1e4m3,15.6,15.6,True
experiment_csv,58,V0_1e4m3,94.5,94.5,True
experiment_csv,59,V0_1e4m3,162.64,162.64,True
experiment_csv,60,V0_1e4m3,311.93,311.93,True
original_workbook,1,A_km2,14.74,14.74,True
original_workbook,2,A_km2,0.69,0.69,True
original_workbook,3,A_km2,1.54,1.54,True
original_workbook,4,A_km2,0.65,0.65,True
original_workbook,5,A_km2,8.17,8.17,True
original_workbook,6,A_km2,8.91,8.91,True
original_workbook,7,A_km2,3.83,3.83,True
original_workbook,8,A_km2,0.5,0.5,True
original_workbook,9,A_km2,3.25,3.25,True
original_workbook,10,A_km2,0.1,0.1,True
original_workbook,11,A_km2,2.22,2.22,True
original_workbook,12,A_km2,0.72,0.72,True
original_workbook,13,A_km2,30.84,30.84,True
original_workbook,14,A_km2,2.17,2.17,True
original_workbook,15,A_km2,3.05,3.05,True
original_workbook,16,A_km2,0.86,0.86,True
original_workbook,17,A_km2,2.97,2.97,True
original_workbook,18,A_km2,3.66,3.66,True
original_workbook,19,A_km2,0.74,0.74,True
original_workbook,20,A_km2,4.06,4.06,True
original_workbook,21,A_km2,0.72,0.72,True
original_workbook,22,A_km2,0.86,0.86,True
original_workbook,23,A_km2,0.53,0.53,True
original_workbook,24,A_km2,0.62,0.62,True
original_workbook,25,A_km2,0.69,0.69,True
original_workbook,26,A_km2,7.81,7.81,True
original_workbook,27,A_km2,1.36,1.36,True
original_workbook,28,A_km2,5.72,5.72,True
original_workbook,29,A_km2,8.43,8.43,True
original_workbook,30,A_km2,5.24,5.24,True
original_workbook,31,A_km2,6.51,6.51,True
original_workbook,32,A_km2,6.27,6.27,True
original_workbook,33,A_km2,5.35,5.35,True
original_workbook,34,A_km2,10.7,10.7,True
original_workbook,35,A_km2,2.18,2.18,True
original_workbook,36,A_km2,54.2,54.2,True
original_workbook,37,A_km2,0.06,0.06,True
original_workbook,38,A_km2,7.5,7.5,True
original_workbook,39,A_km2,2.18,2.18,True
original_workbook,40,A_km2,5.21,5.21,True
original_workbook,41,A_km2,1.21,1.21,True
original_workbook,42,A_km2,10.39,10.39,True
original_workbook,43,A_km2,16.49,16.49,True
original_workbook,44,A_km2,1.12,1.12,True
original_workbook,45,A_km2,0.97,0.97,True
original_workbook,46,A_km2,0.29,0.29,True
original_workbook,47,A_km2,21.7,21.7,True
original_workbook,48,A_km2,0.46,0.46,True
original_workbook,49,A_km2,8.63,8.63,True
original_workbook,50,A_km2,1.98,1.98,True
original_workbook,51,A_km2,1.54,1.54,True
original_workbook,52,A_km2,0.68,0.68,True
original_workbook,53,A_km2,8.32,8.32,True
original_workbook,54,A_km2,0.2,0.2,True
original_workbook,55,A_km2,0.21,0.21,True
original_workbook,56,A_km2,0.29,0.29,True
original_workbook,57,A_km2,0.64,0.64,True
original_workbook,58,A_km2,1.55,1.55,True
original_workbook,59,A_km2,9.8,9.8,True
original_workbook,60,A_km2,36.77,36.77,True
original_workbook,1,H_m,882.0,882.0,True
original_workbook,2,H_m,565.0,565.0,True
original_workbook,3,H_m,374.0,374.0,True
original_workbook,4,H_m,180.0,180.0,True
original_workbook,5,H_m,1150.0,1150.0,True
