kind,dataset,fold,model,transform,score,budget,best_trial,inner_score,warnings,R2,RMSE,MAE
budget,B,1,XGBoost,raw,RMSE,30,11,-0.41687609751054816,0,0.667056389801816,0.3350780643743743,0.23194725910116007
budget,B,1,XGBoost,raw,RMSE,100,69,-0.4130921277162698,0,0.6892959225035058,0.32369361450675843,0.2175898652194265
budget,B,2,RF,raw,R2,30,11,0.7570648872624797,0,0.4750757777855531,0.42111087580850476,0.3321842294242931
budget,B,2,RF,raw,R2,100,61,0.758708655151155,0,0.4697754072474275,0.42323159856565157,0.33593807962496713
budget,B,2,RF,raw,RMSE,30,24,-0.3305858775082799,0,0.47515419058070374,0.421079422017006,0.3326987103624594
budget,B,2,RF,raw,RMSE,100,87,-0.32989450519187685,0,0.4730601897162101,0.421918585565543,0.33331674010337803
budget,B,2,XGBoost,raw,R2,30,29,0.7258436331641431,0,0.49954486528837316,0.4111788105737842,0.31994996968342454
budget,B,2,XGBoost,raw,R2,100,83,0.7350386017360119,0,0.4991824167268383,0.4113276792578619,0.3085471779299532
budget,B,2,XGBoost,raw,RMSE,30,26,-0.34505403005101226,0,0.6303408372026543,0.35338563283327085,0.23722347286429846
budget,B,2,XGBoost,raw,RMSE,100,33,-0.3349571446994129,0,0.5554275227604974,0.38754259012021314,0.28769418267497754
budget,B,3,RF,raw,R2,30,26,0.6066108478058803,0,0.8082873513664295,0.3310919595958407,0.26416423849537024
budget,B,3,RF,raw,R2,100,78,0.611883219318652,0,0.8157909292666553,0.3245478649555276,0.25851608957522254
budget,B,3,RF,raw,RMSE,30,26,-0.39505163079067823,0,0.8067070568753458,0.33245376067801186,0.26543470430588373
budget,B,3,RF,raw,RMSE,100,70,-0.394878061166462,0,0.8074530891225562,0.3318115721935195,0.2651289895741235
budget,B,3,XGBoost,raw,R2,30,17,0.6944760012103889,0,0.7294197001132869,0.3933429200295006,0.2940446570325126
budget,B,3,XGBoost,raw,R2,100,97,0.7360142959954349,0,0.6281400667750938,0.4611189222659781,0.3255009511585873
budget,B,3,XGBoost,raw,RMSE,30,19,-0.3462495787554331,0,0.7193602622668804,0.40058790598947436,0.3014998520223528
budget,B,3,XGBoost,raw,RMSE,100,51,-0.32327797833773225,0,0.729047265286993,0.39361353142828004,0.2827115417759028
budget,B,4,RF,raw,R2,30,16,0.5870643031421107,0,0.6364681442240037,0.3778273747001419,0.286545447322686
budget,B,4,RF,raw,R2,100,87,0.5947696077879079,0,0.6334530747158826,0.37939095639494425,0.29092806158696355
budget,B,4,RF,raw,RMSE,30,16,-0.43234179237211867,0,0.6364681442240037,0.3778273747001419,0.286545447322686
budget,B,4,RF,raw,RMSE,100,65,-0.42907681973223916,0,0.6334530747158826,0.37939095639494425,0.29092806158696355
