fold,model,R2,RMSE,MAE,time_s
6,XGBoost,0.8944220286773296,0.1540855122795475,0.11631213766525621,0.14472651481628418
6,AdaBoost,0.8985698147196834,0.15102844802337234,0.11568268453444167,0.16113972663879395
6,MLP,0.5321540403739027,0.32435947722466885,0.2459219519599425,0.2725100517272949
7,TabPFN,0.6256299892599033,0.21383186812202348,0.1777660041856161,10.277082681655884
7,Ridge,0.5218581835226369,0.24165749413128065,0.19280004569122788,0.002340078353881836
7,Lasso,0.5444252098974918,0.23588577193529178,0.1893871219384985,0.0009992122650146484
7,ElasticNet,0.5310640469544461,0.23931982123066634,0.19141777452541844,0.0009999275207519531
7,SVR,0.3142193440129034,0.2894106572583838,0.21748885419068018,0.0010004043579101562
7,KNN,0.5805387847480022,0.22634338657753802,0.17793539219868088,0.00099945068359375
7,RF,0.5370665069350105,0.23778322099382584,0.21118509051633216,0.082427978515625
7,GBR,0.4907299601671361,0.24939972367941374,0.21779296513481686,0.038335561752319336
7,XGBoost,0.4990773620956509,0.24734733396089303,0.21299587655398727,0.11605429649353027
7,AdaBoost,0.5741683171910581,0.228055678027105,0.19550095481280597,0.14319181442260742
7,MLP,-0.12755047395695063,0.37109909917733863,0.23979689640283947,0.11938190460205078
8,TabPFN,0.7716871164064749,0.18401413592583404,0.15918589993984958,10.91533088684082
8,Ridge,0.7267640886025972,0.20130514097106902,0.1652018405935086,0.0031321048736572266
8,Lasso,0.7293878774827314,0.20033627802092674,0.1648707605637327,0.0011591911315917969
8,ElasticNet,0.7292010143582679,0.2004054342033089,0.1646745281400436,0.0
8,SVR,0.7366059484628324,0.19764642278395203,0.18331228121781099,0.0009965896606445312
8,KNN,0.6232735005195398,0.23637365037931032,0.1778316688895887,0.0016825199127197266
8,RF,0.863364354846553,0.14235344541984943,0.11769552660128828,0.09196352958679199
8,GBR,0.7991456250571003,0.17259437000190644,0.1488523276207001,0.038607120513916016
8,XGBoost,0.7614207802261577,0.18810584218966062,0.16447120122815542,0.15334057807922363
8,AdaBoost,0.8666789114101314,0.1406162146385613,0.11026913388590132,0.15207552909851074
8,MLP,0.41063608154537456,0.2956499087157443,0.22399245681466515,0.1429457664489746
9,TabPFN,0.8468767640721451,0.19668093703824346,0.1650321804008631,10.00935983657837
9,Ridge,0.8092911065239721,0.21949629435547421,0.1707734497696536,0.0
9,Lasso,0.8008702025803505,0.22428996619201327,0.17545777687720285,0.0
9,ElasticNet,0.8044462562462055,0.22226689717959103,0.173680484665842,0.0
9,SVR,0.7615265893498862,0.24544924526956818,0.20596957774408473,0.0
9,KNN,0.791466794567363,0.22952464745314227,0.17332597954719767,0.0
9,RF,0.7865610541786645,0.23220873530240516,0.20125188521068485,0.09499430656433105
9,GBR,0.7333623101769129,0.2595389172239233,0.2158379200110687,0.03979659080505371
9,XGBoost,0.7615175935771901,0.24545387468462637,0.2227014117797531,0.11787176132202148
9,AdaBoost,0.7230238197007736,0.2645226899224698,0.23169498730476248,0.1097249984741211
9,MLP,0.7222111009598489,0.26491049416399653,0.2186434160636643,0.14405274391174316
10,TabPFN,0.855876525607294,0.17086369642614424,0.13966719139093162,11.452507257461548
10,Ridge,0.8740220985790091,0.15974586330635387,0.12368147727222836,0.003044605255126953
10,Lasso,0.8815238146707165,0.15491660369748472,0.1214162441096461,0.0011224746704101562
10,ElasticNet,0.8784599672526647,0.15690692469086348,0.12215067298275512,0.0010342597961425781
10,SVR,0.6160955493716966,0.27886499970257456,0.22106449671949827,0.0009987354278564453
10,KNN,0.827645102670145,0.18685049384089455,0.14967842112071625,0.0
10,RF,0.8372796328843166,0.1815529849722364,0.15982841928603525,0.0844426155090332
10,GBR,0.8765475094376598,0.15813658794472926,0.13655327786242433,0.04057955741882324
10,XGBoost,0.8365851424328637,0.18194000648787517,0.14968788037024877,0.12883567810058594
10,AdaBoost,0.8044965375146151,0.19900301795472403,0.1797377404909963,0.13438153266906738
10,MLP,0.6203089738923535,0.27733047941031674,0.19762868815054419,0.1260061264038086
11,TabPFN,0.6924014940215347,0.2222650719702766,0.19322045536048016,10.683110237121582
11,Ridge,0.6893403010683092,0.22336831502804158,0.18560576810440502,0.005022525787353516
11,Lasso,0.7007426090081128,0.2192307917338996,0.18227757267648048,0.0
11,ElasticNet,0.6952815456716892,0.22122208845407318,0.18400215986518628,0.0
11,SVR,0.6218931756863828,0.24642590918316915,0.20739641458668798,0.005263805389404297
11,KNN,0.5227912111461521,0.2768428594992898,0.23694925043502083,0.0
11,RF,0.6028251286440567,0.25256315343134517,0.21233872219413436,0.08325362205505371
11,GBR,0.543205102391722,0.2708567928119141,0.227220450353788,0.035524606704711914
11,XGBoost,0.7213958476429528,0.2115304542802334,0.17959814079225275,0.12633562088012695
11,AdaBoost,0.5645599710967899,0.26444982544379764,0.21978158395431763,0.13695144653320312
11,MLP,0.7051568801742494,0.2176078753146029,0.19239484740125157,0.24190092086791992
12,TabPFN,0.888909905635943,0.1666092983170573,0.13861096644558688,9.97851848602295
