fold,model,n_train,R2
8,MLP,20,-1.8797484638801354
8,TabPFN,25,0.9224257630251159
8,RF,25,0.8712012115306409
8,XGBoost,25,0.8571776479879626
8,SVR,25,0.8174805988160088
8,Ridge,25,0.6279357637366736
8,GBR,25,0.8800036409051136
8,MLP,25,0.5168627387245843
8,TabPFN,30,0.9127798701577965
8,RF,30,0.8586391222425649
8,XGBoost,30,0.7812567015041239
8,SVR,30,0.7944853194683067
8,Ridge,30,0.6562453045044241
8,GBR,30,0.8051498389031051
8,MLP,30,0.7294348174850269
8,TabPFN,35,0.942928153269234
8,RF,35,0.8734417930781415
8,XGBoost,35,0.8737409556642245
8,SVR,35,0.874844002786437
8,Ridge,35,0.775225954809664
8,GBR,35,0.8339701040460403
8,MLP,35,0.5387141854172612
8,TabPFN,40,0.9523047416054468
8,RF,40,0.899467980592457
8,XGBoost,40,0.8641966381585491
8,SVR,40,0.8700467644368803
8,Ridge,40,0.7570609645018805
8,GBR,40,0.8788128846967405
8,MLP,40,0.8806435315051561
8,TabPFN,45,0.9367410774373124
8,RF,45,0.8735040410268908
8,XGBoost,45,0.8763499903761385
8,SVR,45,0.8711711167798348
8,Ridge,45,0.7096463297881801
8,GBR,45,0.8599552281477061
8,MLP,45,-0.30947523331800153
8,TabPFN,48,0.9421784232805941
8,RF,48,0.8838800922285839
8,XGBoost,48,0.8752838107122957
8,SVR,48,0.8474224642906669
8,Ridge,48,0.7198414274069473
8,GBR,48,0.8605959347772465
8,MLP,48,-1.004468074061995
9,TabPFN,10,0.37411702899776256
9,RF,10,0.2706180243875759
9,XGBoost,10,0.7047712885657972
9,SVR,10,-0.7799044273051012
9,Ridge,10,-0.7884338973398761
9,GBR,10,0.7181632845502868
9,MLP,10,-5.872163628794517
9,TabPFN,15,0.6023908306898951
9,RF,15,0.7267566970132564
9,XGBoost,15,0.6412321670971013
9,SVR,15,-0.05599067710322303
9,Ridge,15,-0.7034406860740248
9,GBR,15,0.8589777279890312
9,MLP,15,-18.495465797420742
9,TabPFN,20,0.8219388542215637
9,RF,20,0.8220085533401085
9,XGBoost,20,0.6001080313780138
9,SVR,20,0.3839321259090924
9,Ridge,20,-0.9155374616843188
9,GBR,20,0.7503739717190363
9,MLP,20,-4.8641656070551695
9,TabPFN,25,0.8569460969341653
9,RF,25,0.8638894828215382
9,XGBoost,25,0.638893126123526
9,SVR,25,0.46756472626646073
