fold,model,n_train,R2
2,Ridge,40,0.4889098453959757
2,GBR,40,0.6703532057329937
2,MLP,40,0.04258147833911918
2,TabPFN,45,0.8009007556606137
2,RF,45,0.6388551368299247
2,XGBoost,45,0.44983268272365584
2,SVR,45,0.5986443181849306
2,Ridge,45,0.4471966700551574
2,GBR,45,0.42502759049966654
2,MLP,45,-1.5361648721239916
2,TabPFN,48,0.8038405286771788
2,RF,48,0.6548125283138828
2,XGBoost,48,0.5433745893294402
2,SVR,48,0.6136458772238949
2,Ridge,48,0.44985717124521873
2,GBR,48,0.6134524755317977
2,MLP,48,0.667879597692365
3,TabPFN,10,0.6490522565100875
3,RF,10,0.8394044722452183
3,XGBoost,10,0.765152757403393
3,SVR,10,-0.5125363583711555
3,Ridge,10,0.20703387012090935
3,GBR,10,0.6577210286761727
3,MLP,10,-0.06052584672142802
3,TabPFN,15,0.760594195513596
3,RF,15,0.7973451961189595
3,XGBoost,15,0.7912262915496857
3,SVR,15,0.6310276939985147
3,Ridge,15,0.25385165632225437
3,GBR,15,0.7705059559431894
3,MLP,15,-5.94631956503969
3,TabPFN,20,0.7607731167150005
3,RF,20,0.8658849946816543
3,XGBoost,20,0.7369278495323592
3,SVR,20,0.45572395210733985
3,Ridge,20,-0.0941871976748756
3,GBR,20,0.8012501141299967
3,MLP,20,-0.9609100520220784
3,TabPFN,25,0.8434184588137192
3,RF,25,0.8645099752645553
3,XGBoost,25,0.7588913972430087
3,SVR,25,0.4330945540162743
3,Ridge,25,0.33656015779088766
3,GBR,25,0.7001791079915972
3,MLP,25,0.7462832133644449
3,TabPFN,30,0.9228840726705777
3,RF,30,0.8867770147414694
3,XGBoost,30,0.7656890235524104
3,SVR,30,0.41327837047265426
3,Ridge,30,-1.5546528798407686
3,GBR,30,0.8270452272681315
3,MLP,30,-2.2661397995965578
3,TabPFN,35,0.9013476178255198
3,RF,35,0.8303846594768194
3,XGBoost,35,0.7199879758530925
3,SVR,35,0.4995290340392947
3,Ridge,35,0.3409271182134508
3,GBR,35,0.7449853671900982
3,MLP,35,0.6959023642464582
3,TabPFN,40,0.9215821463767742
3,RF,40,0.875556723195691
3,XGBoost,40,0.7192013373755388
3,SVR,40,0.404696598923429
3,Ridge,40,0.5646548388798525
3,GBR,40,0.8047235253233785
3,MLP,40,0.8054394111512831
3,TabPFN,45,0.8969823911694146
3,RF,45,0.8642752871339928
3,XGBoost,45,0.7583550984828982
3,SVR,45,0.6278073476196524
3,Ridge,45,0.33314598383736327
3,GBR,45,0.73623080753212
3,MLP,45,0.7470960434117184
3,TabPFN,48,0.9210247506019223
3,RF,48,0.8545462316957606
3,XGBoost,48,0.7526931881873413
3,SVR,48,0.6032117625455784
3,Ridge,48,0.30882817202155854
3,GBR,48,0.7487297848282137
3,MLP,48,0.8797377663281745
4,TabPFN,10,0.584321438952974
4,RF,10,0.7781763079189995
4,XGBoost,10,0.6173276068866026
4,SVR,10,0.49972995533674136
4,Ridge,10,-0.16450497758420624
4,GBR,10,0.2562294767828013
4,MLP,10,-2.35125592850484
4,TabPFN,15,0.7933101420896669
4,RF,15,0.8073845258925079
4,XGBoost,15,0.6351443759774613
4,SVR,15,0.5506159527010209
4,Ridge,15,0.5095514109658619
4,GBR,15,0.7043467247145029
4,MLP,15,-0.006236988115563946
4,TabPFN,20,0.8702616312403555
4,RF,20,0.8769862342196741
4,XGBoost,20,0.8210814934192511
4,SVR,20,0.4535759776349244
4,Ridge,20,0.6858703065723089
4,GBR,20,0.7241068813628059
4,MLP,20,0.6816294561329116
4,TabPFN,25,0.7922156756857948
4,RF,25,0.7407162201908299
4,XGBoost,25,0.7080725163465991
4,SVR,25,0.4863974243032453
4,Ridge,25,-1.5448083241714237
4,GBR,25,0.7765950005079121
4,MLP,25,-5.179736452362495
4,TabPFN,30,0.8695347268255491
4,RF,30,0.8561052519717502
4,XGBoost,30,0.7634447633479571
4,SVR,30,0.14772195385898046
4,Ridge,30,0.5026939165677751
4,GBR,30,0.497151616528689
4,MLP,30,0.6065952368302202
4,TabPFN,35,0.8805862943193196
4,RF,35,0.8820150676784653
4,XGBoost,35,0.7972575619057395
4,SVR,35,0.6600859024912058
4,Ridge,35,0.532866286799972
4,GBR,35,0.7826503338934632
4,MLP,35,0.40264334326725315
4,TabPFN,40,0.8635196216126242
4,RF,40,0.8389132761714572
4,XGBoost,40,0.8394096433282278
4,SVR,40,0.7311497998181566
4,Ridge,40,0.5913820761685333
4,GBR,40,0.8224629882072112
4,MLP,40,0.42217249327734896
4,TabPFN,45,0.8502095801798173
4,RF,45,0.8735158558886049
4,XGBoost,45,0.8565205519274874
4,SVR,45,0.7465268562917637
4,Ridge,45,0.5742792281757774
4,GBR,45,0.829192047206702
4,MLP,45,-1.3467070566159687
4,TabPFN,48,0.8555388822917149
4,RF,48,0.8468241526151641
4,XGBoost,48,0.8684663203505548
4,SVR,48,0.7501375457160134
4,Ridge,48,0.5633924109383488
4,GBR,48,0.7552000605417157
4,MLP,48,0.48931754823012763
5,TabPFN,10,0.19610485514200793
5,RF,10,0.5374159134093641
5,XGBoost,10,0.772396442188362
5,SVR,10,0.1536200993172414
5,Ridge,10,-0.2149238970244305
5,GBR,10,0.6648600624271839
5,MLP,10,-2.7368265665642544
5,TabPFN,15,0.627500834496317
5,RF,15,0.703541397125276
5,XGBoost,15,0.832379568392927
5,SVR,15,0.4669320779525754
5,Ridge,15,-0.17982863138919436
5,GBR,15,0.7332533331457116
5,MLP,15,-1.3782624830384154
5,TabPFN,20,0.5187860173466441
5,RF,20,0.6283222357631624
5,XGBoost,20,0.2538023884224484
5,SVR,20,0.3053684527792251
5,Ridge,20,0.0068809893826731194
5,GBR,20,0.32990549669780933
5,MLP,20,-0.8272255343171395
5,TabPFN,25,0.4626343247397957
5,RF,25,0.6612722803196044
5,XGBoost,25,0.4218439492226622
5,SVR,25,0.23566116862065656
5,Ridge,25,-0.133281418640115
5,GBR,25,0.5158169888908619
5,MLP,25,-1.104368646308917
5,TabPFN,30,0.6557490296965175
5,RF,30,0.7770670674851894
5,XGBoost,30,0.7475728615616773
5,SVR,30,0.47992924154895455
5,Ridge,30,-0.31898661001832207
5,GBR,30,0.7623248354125699
5,MLP,30,-1.2393683117762704
5,TabPFN,35,0.7386631625754443
5,RF,35,0.8280622459808262
5,XGBoost,35,0.7673109656555048
5,SVR,35,0.5216291198091549
5,Ridge,35,-0.6019913804419021
5,GBR,35,0.7220400729382362
5,MLP,35,-1.5933184982088724
5,TabPFN,40,0.6441169734200718
5,RF,40,0.7618696835336602
5,XGBoost,40,0.7102442018881405
5,SVR,40,0.557866898819579
5,Ridge,40,-0.25211272665802764
5,GBR,40,0.67983385926989
5,MLP,40,-0.5180933968150347
5,TabPFN,45,0.5599371278047692
5,RF,45,0.7456860798802465
5,XGBoost,45,0.6760652607884252
5,SVR,45,0.5696302958757308
5,Ridge,45,-0.17168310143416066
5,GBR,45,0.6722845564469155
5,MLP,45,-1.1005121170166827
5,TabPFN,48,0.5808040868449983
5,RF,48,0.7532379952133803
5,XGBoost,48,0.6447766354053914
5,SVR,48,0.557987228331633
5,Ridge,48,-0.293868892750913
5,GBR,48,0.6853279500046459
5,MLP,48,-0.9835555293201108
6,TabPFN,10,0.4857088168083712
6,RF,10,0.6199025254353846
