fold,model,mode,R2,RMSE,MAE,time_s
31,RF,bo,0.8332503180892488,0.3100810801495441,0.26405827693110284,11.882097244262695
31,GBR,default,0.7915186579206512,0.34671797556294265,0.26211066538018807,0.047484397888183594
31,GBR,bo,0.8165882238433498,0.3252043674223189,0.26848951201880517,5.157456636428833
31,XGBoost,default,0.9197920505508479,0.21505595254851043,0.17972208498985434,0.07924389839172363
31,XGBoost,bo,0.8566421386181884,0.287510372887145,0.24023215234221298,3.715364694595337
31,AdaBoost,default,0.8006724414236557,0.33902087064154734,0.272873240142894,0.09857678413391113
31,AdaBoost,bo,0.8044815188852328,0.33576596257177,0.25408740295678484,8.957604169845581
31,MLP,default,0.697881736520923,0.417379631261471,0.3458942053099759,0.037549495697021484
31,MLP,bo,0.8205332783561905,0.32168790022162874,0.23106892720466843,6.9895946979522705
32,TabPFN,zero-shot,0.9378070218972633,0.1787532686928249,0.1364317503622604,7.702479362487793
32,Ridge,default,0.7409071293682579,0.3648472244760418,0.31153013969275395,0.0
32,Ridge,bo,0.7410673408705748,0.3647344043881283,0.30884825057993415,0.06299686431884766
32,Lasso,default,0.7423759258903935,0.36381159586546286,0.30687384774945464,0.0
32,Lasso,bo,0.6873674831597019,0.40077478408169087,0.3602281597906487,0.07903218269348145
32,ElasticNet,default,0.7414873195618923,0.3644384918484622,0.31174022342318103,0.0
32,ElasticNet,bo,0.6839535919482291,0.4029570373119186,0.36351585539917125,0.07934951782226562
32,SVR,default,0.7636185263283883,0.3484897695778446,0.2812004320519476,0.0
32,SVR,bo,0.8264775184649555,0.2985803276588711,0.2531748318420818,0.19093108177185059
32,KNN,default,0.8354101727682117,0.29079357724630345,0.21478197916153108,0.0
32,KNN,bo,0.7479923815078762,0.3598240193587328,0.29420789301364836,0.1426546573638916
32,RF,default,0.9344267746570278,0.18354670319225677,0.147641964836676,0.0792853832244873
32,RF,bo,0.934022925511418,0.1841110448069414,0.14778502716946554,10.817213296890259
32,GBR,default,0.928557811138766,0.19158464183001825,0.15761428077629952,0.04743337631225586
32,GBR,bo,0.9050326513106405,0.2208871603542629,0.15832893366148362,5.3029913902282715
32,XGBoost,default,0.8954158339621139,0.23180152252737396,0.19262060350692176,0.0794668197631836
32,XGBoost,bo,0.897697386387066,0.2292591510791146,0.17152193093650078,3.7379446029663086
32,AdaBoost,default,0.9235408241466063,0.19819747693912776,0.15018667582232914,0.13028240203857422
32,AdaBoost,bo,0.924120726216167,0.19744443528935524,0.14618995975543458,8.708367586135864
32,MLP,default,0.8268390401344227,0.298269130114819,0.22707101802491084,0.06361865997314453
32,MLP,bo,0.25036150167401805,0.6205964062823395,0.49974905773049755,5.999546766281128
33,TabPFN,zero-shot,0.9664144377987783,0.1106805653936453,0.1021644641510477,8.74181079864502
33,Ridge,default,0.6962553083103322,0.33285064752647253,0.3085727719277933,0.0
33,Ridge,bo,0.5173367805197217,0.4195823011320882,0.3810824950111326,0.07538866996765137
33,Lasso,default,0.6948974231509404,0.33359381927340503,0.31108900525231076,0.0
33,Lasso,bo,0.329963755494318,0.494361004061703,0.45221928177030546,0.06796145439147949
33,ElasticNet,default,0.6983032584270399,0.3317266535448315,0.30869348325381557,0.0
33,ElasticNet,bo,0.36266346681443873,0.48214699525378396,0.43844406161372623,0.08001446723937988
33,SVR,default,0.8683450606934828,0.2191359527473383,0.183595786318415,0.0
33,SVR,bo,0.7921339748799451,0.2753510985197599,0.22968939804824096,0.1442735195159912
33,KNN,default,0.721120527402272,0.3189358449234745,0.23667831256693775,0.0
33,KNN,bo,0.7790061279200717,0.28391293113565474,0.1804689638903785,0.15308547019958496
33,RF,default,0.8673256046909001,0.21998274460498088,0.19352035476368903,0.08297920227050781
33,RF,bo,0.8697964566733654,0.21792470126927252,0.18875575505338657,7.182286739349365
33,GBR,default,0.8295165889473155,0.24936535799354853,0.21161584077210613,0.032283782958984375
33,GBR,bo,0.881784699544455,0.20764998444975516,0.18472115468037228,4.464629650115967
33,XGBoost,default,0.849339114050817,0.23442035333578354,0.19519869702186243,0.0967862606048584
33,XGBoost,bo,0.8864518731347375,0.20350966758202302,0.17034434711743315,3.710918664932251
33,AdaBoost,default,0.8401252922072723,0.2414820975797799,0.2081688732783132,0.10100817680358887
33,AdaBoost,bo,0.8277246779791201,0.250672442620961,0.22092968050269302,12.203058242797852
33,MLP,default,-0.6072794493985869,0.7656684529566566,0.6421115987344088,0.015712499618530273
33,MLP,bo,0.8298241363151234,0.2491403323513426,0.16664005471033674,6.969079971313477
34,TabPFN,zero-shot,0.9345033420382685,0.17864836708125115,0.1478702730390019,8.684666633605957
34,Ridge,default,0.28861090604528983,0.5887664877894866,0.44608847668095025,0.0
34,Ridge,bo,0.35323471172298637,0.5613876218011407,0.4335556209010359,0.06338214874267578
34,Lasso,default,0.46817009291573286,0.5090680710717589,0.4043525177183636,0.0
34,Lasso,bo,0.5039271371429985,0.49165698756614074,0.39520438260898816,0.07988476753234863
34,ElasticNet,default,0.3232093452062066,0.5742706984918136,0.4382643215002389,0.0
34,ElasticNet,bo,0.5010683163034328,0.4930716386537215,0.3955866423368035,0.08015561103820801
34,SVR,default,0.6735340017217792,0.39884895519335645,0.2795992329331671,0.0
34,SVR,bo,0.6048125662142971,0.4388246792051621,0.32026157649287174,0.14247655868530273
34,KNN,default,0.6079257290282558,0.437092799978584,0.3441527519661011,0.0
34,KNN,bo,0.8454581113180675,0.27441799607083633,0.23217440492240052,0.14791369438171387
34,RF,default,0.9413176991226121,0.16909978199986742,0.14606709200448464,0.08865547180175781
34,RF,bo,0.9334995404941018,0.1800121437563714,0.15413188973363748,12.088130235671997
34,GBR,default,0.9132694628309665,0.20557746145628403,0.15615729581984497,0.047882795333862305
34,GBR,bo,0.9338062746058166,0.17959650991234763,0.14453341292056535,5.500247478485107
34,XGBoost,default,0.9391299376941429,0.17222308086360388,0.1265725642226462,0.09604120254516602
34,XGBoost,bo,0.899127678288377,0.22170500080818845,0.15604691271509596,4.349467515945435
34,AdaBoost,default,0.8726350673990093,0.2491233388684046,0.22095196740913525,0.10210943222045898
34,AdaBoost,bo,0.8757119516415294,0.246095779159473,0.22249013916129445,12.965327024459839
34,MLP,default,0.343617828709207,0.5655459138871795,0.4510506519017518,0.01612067222595215
34,MLP,bo,-0.022325918478859785,0.7058040832123974,0.5918757305305505,5.849705934524536
35,TabPFN,zero-shot,0.9744415501431787,0.101634388519794,0.08738259380613915,8.323042154312134
35,Ridge,default,0.267858836262172,0.5439648486638877,0.4317606731394284,0.0
35,Ridge,bo,0.17457511159843542,0.5775800758942696,0.47461639185804616,0.06406950950622559
35,Lasso,default,0.24194883161756708,0.5535064478163095,0.4357140718667118,0.0
35,Lasso,bo,0.3766822005990714,0.5019127036209104,0.4171945450013245,0.08004546165466309
35,ElasticNet,default,0.23720111560628176,0.5552370629198962,0.43697580352593607,0.0
35,ElasticNet,bo,0.34963222492223467,0.5126877383599348,0.42403683706729356,0.08120036125183105
35,SVR,default,0.5727512154332596,0.41554096269383717,0.2821485745363525,0.0010366439819335938
35,SVR,bo,0.5398130709786768,0.4312613748782146,0.3438007453789022,0.14238381385803223
35,KNN,default,0.6929670457853393,0.35226209958413257,0.2732647618620548,0.0
35,KNN,bo,0.7038618873958618,0.3459557678865818,0.2724931526386687,0.1523599624633789
35,RF,default,0.9388124367498989,0.15725519543056077,0.12801035878518893,0.08302545547485352
35,RF,bo,0.9309712918231041,0.16702762144935335,0.13948856274762017,9.64629054069519
35,GBR,default,0.900084695849205,0.20095065725944605,0.14681861313445796,0.033701419830322266
35,GBR,bo,0.9124851330706443,0.18806775572376022,0.13105451266837193,5.966580152511597
35,XGBoost,default,0.9030897988874309,0.19790563997864802,0.1533535572220649,0.08412408828735352
35,XGBoost,bo,0.8644920192955421,0.23402155481877351,0.17671277950120753,3.827484607696533
35,AdaBoost,default,0.917125978345273,0.18301329107359607,0.13421148004558642,0.10003995895385742
35,AdaBoost,bo,0.9082307238268903,0.19258483097335305,0.14488347187562364,12.610171556472778
35,MLP,default,-1.5093421978767068,1.007055413945492,0.8205599975366668,0.0
