TabPFN,Ridge,Lasso,ElasticNet,SVR,KNN,RF,GBR,XGBoost,AdaBoost,MLP
0.6344940806276889,0.5219457695953691,0.522830334786321,0.5217833194298818,0.6892587286061016,0.504417020155113,0.6168662992724225,0.6177629707191254,0.6218207810576332,0.5633408545366616,0.3533618255688976
0.8203911075174886,0.8142231324895932,0.8110711310160061,0.8131499623819616,0.8030633303395133,0.8391443372753307,0.8435130760270838,0.8288820885198924,0.9027300249828674,0.8601315075003452,0.69045973251004
0.8800929247087237,0.8236283226381977,0.8245042258128997,0.8243542428329337,0.6364200085123219,0.752896427778095,0.8895564063928418,0.8696211158322492,0.8714634235470933,0.8841201644975315,0.5647724916975116
0.733338387708586,0.694599060216079,0.6946126181285425,0.6946023562272077,0.7237991335298857,0.7621494620170666,0.7664579342882678,0.7594529344528347,0.7719845521036731,0.7086768759079092,0.5392156206976833
0.8972145551804348,0.8300883749312182,0.8330809157684057,0.834940371137503,0.844309820362114,0.8863940962760102,0.9317825839379906,0.9080304772491552,0.925819742867006,0.9047133024611105,0.7500977119845098
0.7841601133210557,0.7784275944055801,0.7854161059473734,0.7834132010569148,0.6572208098095572,0.6513047075832814,0.7989646624369906,0.7885993254611042,0.7081032917468424,0.8238043908784778,0.6713941532624632
0.50094879949535,0.427159524809805,0.44491606283795126,0.4367517775043389,0.3944609049441843,0.10945938336159577,0.36623317246760134,0.29502054310399195,0.23668879317219382,0.40939749452320173,0.4734511549000431
0.8318888123346727,0.8494617775708325,0.8516936763719468,0.8513338219352253,0.7081182853209578,0.811063082174847,0.8635815338265622,0.7731813878566755,0.7547427052907085,0.876606600856827,0.8469645435067943
0.8151481906783591,0.7910591872038274,0.7821978160988059,0.7862140134472771,0.7294796455913132,0.798724011741423,0.7947984128614125,0.7345640233257043,0.7595270053603247,0.7579399683220813,0.7428537695091619
0.9063502932541001,0.8461558622203467,0.8436553469176467,0.8455202174822805,0.8441400119151152,0.8380282189488975,0.7816410332375415,0.7909740118850165,0.7931501568105502,0.7992949939374185,0.6724603009157397
0.7583306188091397,0.6531525189029224,0.6625941272434364,0.6582747902301318,0.5677612575539903,0.7438837166281627,0.7945129418428907,0.8107056540398542,0.8297317101653856,0.8010477131455074,0.4534051128133476
