fold,idx,alpha,y_obs,y_pred,xc_lo,xc_hi,xc_cov,xc_wid,xc_is
3,29,0.400000,1.711132,1.801569,1.629076,1.974062,1,0.344985,0.344985
3,35,0.400000,2.703584,2.754244,2.581751,2.926737,1,0.344985,0.344985
3,37,0.400000,2.177536,2.215977,2.043484,2.388470,1,0.344985,0.344985
3,39,0.400000,1.950170,1.966447,1.793954,2.138940,1,0.344985,0.344985
3,41,0.400000,2.037068,2.285975,2.113482,2.458468,0,0.344985,0.727058
3,44,0.400000,1.184691,1.074353,0.901861,1.246846,1,0.344985,0.344985
3,47,0.400000,0.952792,0.809690,0.637197,0.982183,1,0.344985,0.344985
3,53,0.400000,0.798651,0.651097,0.478605,0.823590,1,0.344985,0.344985
3,1,0.300000,1.028571,0.992039,0.782796,1.201281,1,0.418485,0.418485
3,2,0.300000,0.792392,0.736839,0.527597,0.946082,1,0.418485,0.418485
3,21,0.300000,0.727541,0.815496,0.606253,1.024738,1,0.418485,0.418485
3,23,0.300000,0.730782,0.802556,0.593314,1.011798,1,0.418485,0.418485
3,29,0.300000,1.711132,1.801569,1.592327,2.010811,1,0.418485,0.418485
3,35,0.300000,2.703584,2.754244,2.545002,2.963486,1,0.418485,0.418485
3,37,0.300000,2.177536,2.215977,2.006735,2.425219,1,0.418485,0.418485
3,39,0.300000,1.950170,1.966447,1.757205,2.175689,1,0.418485,0.418485
3,41,0.300000,2.037068,2.285975,2.076733,2.495217,0,0.418485,0.682918
3,44,0.300000,1.184691,1.074353,0.865111,1.283596,1,0.418485,0.418485
3,47,0.300000,0.952792,0.809690,0.600448,1.018932,1,0.418485,0.418485
3,53,0.300000,0.798651,0.651097,0.441855,0.860340,1,0.418485,0.418485
3,1,0.200000,1.028571,0.992039,0.685931,1.298147,1,0.612216,0.612216
3,2,0.200000,0.792392,0.736839,0.430732,1.042947,1,0.612216,0.612216
3,21,0.200000,0.727541,0.815496,0.509388,1.121604,1,0.612216,0.612216
3,23,0.200000,0.730782,0.802556,0.496448,1.108664,1,0.612216,0.612216
3,29,0.200000,1.711132,1.801569,1.495461,2.107677,1,0.612216,0.612216
3,35,0.200000,2.703584,2.754244,2.448136,3.060352,1,0.612216,0.612216
3,37,0.200000,2.177536,2.215977,1.909869,2.522085,1,0.612216,0.612216
3,39,0.200000,1.950170,1.966447,1.660339,2.272555,1,0.612216,0.612216
3,41,0.200000,2.037068,2.285975,1.979867,2.592083,1,0.612216,0.612216
3,44,0.200000,1.184691,1.074353,0.768245,1.380461,1,0.612216,0.612216
3,47,0.200000,0.952792,0.809690,0.503582,1.115798,1,0.612216,0.612216
3,53,0.200000,0.798651,0.651097,0.344989,0.957205,1,0.612216,0.612216
